Nr.,interaction type,GO Term,GO Term 2,MI Term,kinasefamily,kin_phos,Kinase_Phos,Target,pSite,PMID,Pathway,Ppase family
5644,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT5G10270,AT1G27630,,17468259,not specified,
5647,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT5G64960,AT1G27630,,17468259,not specified,
3874,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G23190,,TAIR,not specified,
5671,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G23190,,17426018,cell.cycle,
5830,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G20610,,20018602,not specified,
2257,autophosphorylation,GO:0046777,protein autophosphorylation,no,CDK,kinase,AT1G18040,AT1G18040,,SwissProt,not specified,
2270,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDK,kinase,AT4G28980,AT1G18040,S161,SwissProt,not specified,
2271,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDK,kinase,AT4G28980,AT1G18040,T167,SwissProt,not specified,
5562,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDK,kinase,AT4G28980,AT1G18040,S161,15486101,not specified,
5563,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDK,kinase,AT4G28980,AT1G18040,T167,15486101,not specified,
5566,activation,GO:0044093,positive regulation of molecular function,no,CDK,kinase,AT4G28980,AT1G18040,,15486101,not specified,
5852,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDK,kinase,AT4G28980,AT1G18040,,22547781,cell.cycle.cytokinesis (cell division),
3838,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G15570,,TAIR,not specified,
5621,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G15570,,16415207,cell.cycle.interphase.S (endoreduplication),
5707,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G54180,AT1G15570,,19458112,cell.cycle.interphase.G2/M transition,
5824,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G15570,,20018602,not specified,
3837,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G14750,,TAIR,not specified,
3884,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G54180,AT1G14750,,TAIR,not specified,
3729,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT5G10270,AT1G13450,,TAIR,not specified,
5509,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT5G64960,AT1G13450,,12678503,cellular functions.transcription,
3877,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G10690,,TAIR,not specified,
5676,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G10690,,17426018,cell.cycle,
5840,gene regulation,GO:0010468,regulation of gene expression,no,CDK,kinase,AT3G48750,AT1G07370,,22595674,cell.proliferation,
3834,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT3G48750,AT1G02970,,TAIR,not specified,
3751,interaction,GO:0005515,protein binding,MI:0914,CDK,kinase,AT5G64960,AT1G02840,,TAIR,not specified,
5704,protein regulation,GO:0065009,regulation of molecular function,no,CDK,kinase,AT5G64960,AT1G02840,,18208522,cellular functions.splicing,
4839,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G74330,,,15722464,hormone signaling.salicylic acid,
4840,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G74330,,,15722464,stress.biotic.plant defence,
4841,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G74330,,,15722464,stress.biotic.priming,
4842,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G74330,,,22209872,stress.biotic.plant defence,
4843,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G74330,,,22209872,stress.biotic.priming,
5453,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,9560221,cell.cycle.cytokinesis (cell division),
5457,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G39420,,,10366720,cell.cycle,
5458,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G39420,,,10366720,development.flower,
5459,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,10929107,cell.cycle,
5460,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,10929107,development.embryogenesis,
5461,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,10929107,development.seedling and cotyledone,
5467,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,11069305,cell.differatiation/ shape formation,
5468,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,11069305,development.root,
5498,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,11442060,cell.proliferation,
5499,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,11442060,development.cell shape,
5547,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,15031414,cell.cycle.cytokinesis (cell division),
5548,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,15031414,development.stomata,
5549,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G76540,,,15031414,cell.cycle.interphase.G2/M transition,
5550,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,15377755,cell.elongation/ growth/ expansion/ size,
5551,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,15377755,cell.cycle.interphase.G2/M transition,
5552,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,15377755,cell.cycle.mitosis (chromosome division),
5553,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,15377755,cell.cycle.cytokinesis (cell division),
5576,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G63610,,,15175247,cell.proliferation,
5577,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G63610,,,15175247,cell.elongation/ growth/ expansion/ size,
5578,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G63610,,,15175247,development.root,
5579,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G63610,,,15175247,development.flower,
5580,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G63610,,,15175247,development.SAM,
5581,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT2G38620,,,15181207,stress.abiotic.drought and osmotic,
5635,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,16460514,cell.differatiation/ shape formation,
5636,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,16460514,development.gametogenesis,
5637,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,16460514,development.seeds,
5654,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G10270,,,17468259,development.leave and rosette (growth),
5655,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G64960,,,17468259,development.leave and rosette (growth),
5656,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G10270,,,17468259,stress.biotic.plant defence.virus infection,
5657,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT5G64960,,,17468259,stress.biotic.plant defence.virus infection,
5658,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,17369369,cell.meiosis,
5696,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G76540,,,18223038,development.SAM,
5697,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G20930,,,18223038,development.SAM,
5698,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G76540,,,18223038,cell.cycle.cytokinesis (cell division),
5699,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT1G20930,,,18223038,cell.cycle.cytokinesis (cell division),
5706,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,18554267,stress.biotic.plant defence,
5710,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,19368694,cell.elongation/ growth/ expansion/ size,
5711,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,19368694,cell.cycle.interphase.G2/M transition,
5712,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,19368694,development.root,
5713,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,19368694,development.trichome,
5714,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,20610483,development.gametogenesis,
5715,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,20610483,development.seeds,
5730,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,21119056,cell.meiosis,
5731,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,20659279,development.SAM,
5734,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,21558544,stress.abiotic.drought and osmotic,
5735,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,23247921,development.endodermis/ epidermis,
5834,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,22595674,cell.proliferation,
5835,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,22595674,cell.cycle.interphase.G1/S transition,
5836,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,22595674,development.embryogenesis,
5837,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,22595674,development.seedling and cotyledone,
5838,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,22595674,development.root,
5839,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G48750,,,22595674,development.flower,
5858,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,22547781,cell.elongation/ growth/ expansion/ size,
5859,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,22547781,development.leave and rosette (growth),
5860,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT4G28980,,,22547781,cellular functions.splicing,
6271,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,24123248,cell.cycle.mitosis (chromosome division),
6272,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT2G38620,,,24123248,development.stomata,
6273,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT3G54180,,,24123248,cell.cycle.mitosis (chromosome division),
6274,pathway,GO:0008150,biological process,MI:0619,CDK,kinase,AT2G38620,,,24123248,development.stomata,
3947,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,ATCG00180,,TAIR,not specified,
147,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G67500,,20497378,stress.abiotic.drought and osmotic,
5789,autophosphorylation,GO:0046777,protein autophosphorylation,no,CDPK,kinase,AT5G66210,AT5G66210,S228,23252373,development.secondary growth,
5790,autophosphorylation,GO:0046777,protein autophosphorylation,no,CDPK,kinase,AT5G66210,AT5G66210,S495,23252373,development.secondary growth,
5791,autophosphorylation,GO:0046777,protein autophosphorylation,no,CDPK,kinase,AT5G66210,AT5G66210,S318,23252373,development.secondary growth,
123,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G62020,,20504319,stress.biotic.response to elicitors,
126,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT3G51850,AT5G62020,,20504319,stress.biotic.response to elicitors,
4526,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G61160,,23007729,not specified,
106,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G59880,,19130088,not specified,
3910,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G59880,,TAIR,not specified,
5884,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT4G09570,AT5G57220,,20164835,stress.biotic.plant defence,
5885,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT4G35310,AT5G57220,,20164835,stress.biotic.plant defence,
5886,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT2G17290,AT5G57220,,20164835,stress.biotic.plant defence,
5887,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT1G35670,AT5G57220,,20164835,stress.biotic.plant defence,
4489,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT5G04870,AT5G57110,,22090438,not specified,
4490,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT2G17890,AT5G57110,S19,22090438,not specified,
4491,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT2G17890,AT5G57110,S22,22090438,not specified,
113,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT5G23580,AT5G57050,,21692804,hormone signaling.abscisic acid,
255,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G04720,AT5G57050,,21586729,hormone signaling.ABA - stomatal movement,
97,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G55660,,19130088,not specified,
3946,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G55660,,TAIR,not specified,
5911,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G55630,S42,23253603,stress.abiotic.drought and osmotic,
5912,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G09570,AT5G55630,,23253603,stress.abiotic.drought and osmotic,
5913,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G35310,AT5G55630,,23253603,stress.abiotic.drought and osmotic,
5914,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT5G55630,,23253603,stress.abiotic.drought and osmotic,
5915,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT5G55630,,23253603,stress.abiotic.drought and osmotic,
5916,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G55630,S42,23253603,signaling.calcium,
5917,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G09570,AT5G55630,,23253603,signaling.calcium,
5918,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G35310,AT5G55630,,23253603,signaling.calcium,
5919,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT5G55630,,23253603,signaling.calcium,
5920,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT5G55630,,23253603,signaling.calcium,
5921,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G55630,S42,23253603,transport.potassium,
5922,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G09570,AT5G55630,,23253603,transport.potassium,
5923,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G35310,AT5G55630,,23253603,transport.potassium,
5924,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT5G55630,,23253603,transport.potassium,
5925,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT5G55630,,23253603,transport.potassium,
101,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G52550,,19130088,not specified,
3909,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G52550,,TAIR,not specified,
4527,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G51760,,23007729,not specified,
3959,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G50920,,TAIR,not specified,
5932,activation,GO:0044093,positive regulation of molecular function,no,CDPK,kinase,AT4G35310,AT5G49520,,23425856,stress.biotic.plant defence,
6072,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G35310,AT5G47910,S39,23650383,stress.biotic.plant defence,
6073,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G35310,AT5G47910,S148,23650383,stress.biotic.plant defence,
5930,activation,GO:0044093,positive regulation of molecular function,no,CDPK,kinase,AT4G35310,AT5G46350,,23425856,stress.biotic.plant defence,
3958,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G43210,,TAIR,not specified,
3908,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G41670,,TAIR,not specified,
29,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT5G04870,AT5G38480,,9688575,not specified,
134,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G38480,,20497378,stress.abiotic.drought and osmotic,
3907,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G27850,,TAIR,not specified,
3906,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G27760,,TAIR,not specified,
2303,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G26990,,SwissProt,not specified,
2304,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT5G26990,,SwissProt,not specified,
256,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G04720,AT5G24030,T187,21586729,hormone signaling.ABA - stomatal movement,
87,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G21940,,19130088,not specified,
3945,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G21940,,TAIR,not specified,
3925,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G74740,AT5G21274,,TAIR,not specified,
3969,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT5G21274,,TAIR,not specified,
136,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G19440,,20497378,stress.abiotic.drought and osmotic,
140,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G16050,,20497378,stress.abiotic.drought and osmotic,
142,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT5G07340,,20497378,stress.abiotic.drought and osmotic,
3917,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT5G07240,,TAIR,not specified,
3970,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT5G04870,AT5G04870,,TAIR,not specified,
3962,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT5G03040,,TAIR,not specified,
27,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT5G04870,AT4G37640,S45,10823962,signaling.calcium,
4495,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT4G35570,,22789293,not specified,
369,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT4G35100,,20346904,not specified,
4494,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT4G35000,,22789293,not specified,
83,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT3G57530,AT4G34000,,16299177,hormone signaling.abscisic acid,
3929,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT3G57530,AT4G34000,,TAIR,not specified,
4508,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT4G34000,,23007729,not specified,
3944,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT4G32530,,TAIR,not specified,
3943,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT4G32070,,TAIR,not specified,
5890,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT4G35310,AT4G31970,,20164835,stress.biotic.plant defence,
5891,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT2G17290,AT4G31970,,20164835,stress.biotic.plant defence,
1377,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT3G57530,AT4G26950,,18363786,not specified,
6067,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT2G17890,AT4G26200,S216,23650383,signaling.gravitropic response,
6068,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT2G17890,AT4G26200,T296,23650383,signaling.gravitropic response,
6069,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT2G17890,AT4G26200,S299,23650383,signaling.gravitropic response,
254,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G04720,AT4G26080,,21586729,hormone signaling.ABA - stomatal movement,
4500,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT2G17290,AT4G26080,,22689970,hormone signaling.abscisic acid,
5896,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT4G26080,,23468926,hormone signaling.abscisic acid,
5959,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G04720,AT4G26080,,23630285,hormone signaling.abscisic acid,
4496,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT4G22540,,22789293,not specified,
3905,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT4G21670,,TAIR,not specified,
151,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT4G18800,,20497378,stress.abiotic.drought and osmotic,
5926,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G09570,AT4G18170,T198,23425856,stress.biotic.plant defence,
5927,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT4G18170,T198,23425856,stress.biotic.plant defence,
5928,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G09570,AT4G18170,T199,23425856,stress.biotic.plant defence,
5929,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT4G18170,T199,23425856,stress.biotic.plant defence,
5931,activation,GO:0044093,positive regulation of molecular function,no,CDPK,kinase,AT4G35310,AT4G18170,,23425856,stress.biotic.plant defence,
150,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT4G17720,,20497378,stress.abiotic.drought and osmotic,
86,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT4G14830,,19130088,not specified,
103,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT4G14830,,19130088,not specified,
117,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G18890,AT4G14830,,20805328,hormone signaling.abscisic acid,
3915,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT4G14830,,TAIR,not specified,
3960,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT4G14830,,TAIR,not specified,
3924,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G74740,AT4G14640,,TAIR,not specified,
3968,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT4G14640,,TAIR,not specified,
1383,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT3G57530,AT4G08390,,18363786,not specified,
2301,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT4G02200,,SwissProt,not specified,
2302,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT1G35670,AT4G02200,,SwissProt,not specified,
152,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT3G61990,,20497378,stress.abiotic.drought and osmotic,
3942,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G54050,,TAIR,not specified,
3894,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G18890,AT3G51920,,TAIR,not specified,
3923,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G74740,AT3G51920,,TAIR,not specified,
3967,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT3G51920,,TAIR,not specified,
6076,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G04720,AT3G51030,,23615222,stress.biotic.reactive oxygen species,
88,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G48360,,19130088,not specified,
102,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT3G48360,,19130088,not specified,
3904,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT3G48360,,TAIR,not specified,
3941,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G48360,,TAIR,not specified,
6284,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT4G35310,AT3G45640,,24019427,stress.biotic.response to elicitors,
6285,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT2G17290,AT3G45640,,24019427,stress.biotic.response to elicitors,
6286,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT1G35670,AT3G45640,,24019427,stress.biotic.response to elicitors,
6288,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT4G35310,AT3G45640,,24019427,stress.biotic.priming,
6289,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT2G17290,AT3G45640,,24019427,stress.biotic.priming,
6290,gene regulation,GO:0010468,regulation of gene expression,no,CDPK,kinase,AT1G35670,AT3G45640,,24019427,stress.biotic.priming,
3922,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G74740,AT3G43810,,TAIR,not specified,
3966,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G23650,AT3G43810,,TAIR,not specified,
93,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G42800,,19130088,not specified,
3957,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G42800,,TAIR,not specified,
3956,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G30775,,TAIR,not specified,
1376,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT3G57530,AT3G29770,,18363786,not specified,
92,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G26510,,19130088,not specified,
100,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT3G26510,,19130088,not specified,
3903,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT3G26510,,TAIR,not specified,
3955,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G26510,,TAIR,not specified,
1381,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT3G57530,AT3G24770,,18363786,not specified,
90,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G23820,,19130088,not specified,
3940,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT4G09570,AT3G23820,,TAIR,not specified,
124,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,CDPK,kinase,AT4G23650,AT3G23240,,20504319,stress.biotic.response to elicitors,
110,interaction,GO:0005515,protein binding,MI:0914,CDPK,kinase,AT1G35670,AT3G22530,,19130088,not specified,
